100 4950
2 6 9418
2 7 6629
2 8 7163
2 9 502
2 10 4766
2 11 8641
2 12 1540
2 13 8315
2 14 8456
2 15 2057
2 16 393
2 17 5709
2 18 5011
2 19 3140
2 20 8282
2 21 2398
2 22 7902
2 23 8644
2 24 3114
2 25 4379
2 26 4053
2 27 6186
2 28 3154
2 29 1132
2 30 1993
2 31 2164
2 32 6981
2 33 4668
2 34 8504
2 35 606
2 36 8484
2 37 9695
2 38 8216
2 39 1347
2 40 34
2 41 6854
2 42 5530
2 43 8740
2 44 8299
2 45 6468
2 46 8502
2 47 2755
2 48 8814
2 49 8507
2 50 9871
2 51 2761
2 52 7396
2 53 5601
2 54 1287
2 55 541
2 56 8764
2 57 9851
2 58 2983
2 59 3175
2 60 5286
2 61 885
2 62 2600
2 63 8303
2 64 1729
2 65 2185
2 66 3738
2 67 3967
2 68 5053
2 69 5044
2 70 6846
2 71 2771
2 72 1821
2 73 4685
2 74 2581
2 75 5378
2 76 9679
2 77 1034
2 78 441
2 79 1541
2 80 3445
2 81 7475
2 82 3567
2 83 7780
2 84 858
2 85 4455
2 86 3979
2 87 9591
2 88 7792
2 89 1287
2 90 1182
2 91 2643
2 92 7841
2 93 8680
2 94 1070
2 95 1806
2 96 6557
2 97 6583
2 98 1380
2 99 9046
3 4 6367
3 5 6802
3 6 4541
3 7 1233
3 8 4200
3 9 7474
3 10 8728
3 11 6734
3 12 195
3 13 7000
3 14 3137
3 15 5297
3 16 2522
3 17 8307
3 18 4090
3 19 9175
3 20 294
3 21 420
3 22 4413
3 23 4701
3 24 3847
3 25 3248
3 26 9755
3 27 2609
3 28 9221
3 29 3186
3 30 1955
3 31 2244
3 32 1611
3 33 1736
3 34 1429
3 35 9563
3 36 736
3 37 6625
3 38 7615
3 39 1270
3 40 9631
3 41 5142
3 42 8997
3 43 7802
3 44 7175
3 45 2326
3 46 1913
3 47 5993
3 48 3848
3 49 2491
3 50 481
3 51 8195
3 52 9640
3 53 1117
3 54 8270
3 55 8403
3 56 2845
3 57 5604
3 58 6093
3 59 7481
3 60 8534
3 61 7577
3 62 9241
3 63 9004
3 64 5912
3 65 6499
3 66 1814
3 67 4397
3 68 4481
3 69 4173
3 70 5414
3 71 1084
3 72 9952
3 73 2416
3 74 4397
3 75 160
3 76 2173
3 77 1630
3 78 124
3 79 767
3 80 9028
3 81 6310
3 82 2217
3 83 6763
3 84 2179
3 85 4632
3 86 5669
3 87 7560
3 88 2827
3 89 3159
3 90 8885
3 91 9079
3 92 8261
3 93 4459
3 94 9171
3 95 2626
3 96 2830
3 97 4953
3 98 9032
3 99 9237
4 5 231
4 6 2662
4 7 8757
4 8 4505
4 9 7490
4 10 9705
4 11 8174
4 12 4249
4 13 4888
4 14 2366
4 15 3230
4 16 4521
4 17 195
4 18 2332
4 19 1095
4 20 370
4 21 80
4 22 6325
4 23 870
4 24 6586
4 25 6306
4 26 7766
4 27 5628
4 28 160
4 29 9421
4 30 3306
4 31 5563
4 32 8642
4 33 8065
4 34 9152
4 35 1276
4 36 730
4 37 7707
4 38 6923
4 39 890
4 40 5456
4 41 8662
4 42 6463
4 43 4577
4 44 4150
4 45 9578
4 46 3510
4 47 5365
4 48 5001
4 49 9236
4 50 3404
4 51 5618
4 52 3483
4 53 6445
4 54 8138
4 55 4465
4 56 3152
4 57 5125
4 58 2949
4 59 2634
4 60 443
4 61 9240
4 62 388
4 63 7638
4 64 3913
4 65 127
4 66 4363
4 67 4079
4 68 3134
4 69 7023
4 70 3959
4 71 929
4 72 4913
4 73 76
4 74 7060
4 75 111
4 76 4853
4 77 3977
4 78 6734
4 79 8415
4 80 393
4 81 9524
4 82 9149
4 83 7878
4 84 7438
4 85 9842
4 86 398
4 87 8081
4 88 6406
4 89 7811
4 90 1017
4 91 7542
4 92 5138
4 93 1314
4 94 1205
4 95 338
4 96 5468
4 97 3308
4 98 6811
4 99 8439
5 6 7467
5 7 4467
5 8 5999
5 9 9810
5 10 372
5 11 7138
5 12 9153
5 13 7301
5 14 2039
5 15 711
5 16 98
5 17 3585
5 18 9403
5 19 146
5 20 4958
5 21 2941
5 22 847
5 23 1353
5 24 6127
5 25 1574
5 26 7680
5 27 9426
5 28 2691
5 29 4328
5 30 5966
5 31 8278
5 32 5416
5 33 7150
5 34 1840
5 35 3170
5 36 3926
5 37 1461
5 38 3158
5 39 798
5 40 6057
5 41 8732
5 42 7805
5 43 5154
5 44 4553
5 45 952
5 46 4354
5 47 1213
5 48 4221
5 49 5474
5 50 3851
5 51 2629
5 52 3484
5 53 733
5 54 2494
5 55 4113
5 56 7845
5 57 2725
5 58 3706
5 59 3920
5 60 9215
5 61 815
5 62 4688
5 63 6967
5 64 4275
5 65 5428
5 66 6906
5 67 4515
5 68 7083
5 69 9490
5 70 2195
5 71 2034
5 72 5989
5 73 110
5 74 6131
5 75 2934
5 76 2594
5 77 6905
5 78 8182
5 79 2139
5 80 972
5 81 8646
5 82 3755
5 83 170
5 84 8638
5 85 425
5 86 6736
5 87 5348
5 88 6881
5 89 9442
5 90 2328
5 91 8988
5 92 6981
5 93 8681
5 94 9130
5 95 6089
5 96 559
5 97 4214
5 98 6224
5 99 1868
6 7 6852
6 8 3742
6 9 5782
6 10 2748
6 11 7047
6 12 1017
6 13 4174
6 14 8896
6 15 6005
6 16 3303
6 17 4920
6 18 4287
6 19 4646
6 20 6704
6 21 4922
6 22 9368
6 23 2081
6 24 7315
6 25 1406
6 26 919
6 27 5176
6 28 4454
6 29 716
6 30 3421
6 31 4645
6 32 5968
6 33 1707
6 34 6383
6 35 1001
6 36 4564
6 37 5870
6 38 2455
6 39 734
6 40 8444
6 41 3479
6 42 1850
6 43 2938
6 44 9137
6 45 126
6 46 9667
6 47 9275
6 48 4343
6 49 757
6 50 4009
6 51 5645
6 52 3859
6 53 9033
6 54 4447
6 55 2218
6 56 2216
6 57 8211
6 58 2365
6 59 9592
6 60 2507
6 61 6074
6 62 6959
6 63 2748
6 64 2097
6 65 450
6 66 3294
6 67 1220
6 68 2365
6 69 3776
6 70 1682
6 71 3413
6 72 1466
6 73 4864
6 74 888
6 75 5381
6 76 1205
6 77 3511
6 78 1190
6 79 9525
6 80 6543
6 81 8949
6 82 7129
6 83 6664
6 84 9007
6 85 6231
6 86 3985
6 87 5695
6 88 3340
6 89 5631
6 90 6437
6 91 8717
6 92 65
6 93 8863
6 94 2648
6 95 5835
6 96 5372
6 97 2531
6 98 2131
6 99 3156
7 8 3662
7 9 3572
7 10 1109
7 11 9495
7 12 7457
7 13 3673
7 14 4833
7 15 2160
7 16 3961
7 17 9648
7 18 2325
7 19 9878
7 20 7497
7 21 4589
7 22 5360
7 23 1369
7 24 2297
7 25 214
7 26 149
7 27 1391
7 28 680
7 29 4324
7 30 7147
7 31 2174
7 32 7505
7 33 8502
7 34 1689
7 35 7071
7 36 2992
7 37 287
7 38 5738
7 39 4998
7 40 2476
7 41 918
7 42 8937
7 43 8754
7 44 3478
7 45 4458
7 46 5370
7 47 7686
7 48 7593
7 49 6615
7 50 952
7 51 5325
7 52 7137
7 53 1890
7 54 5217
7 55 5583
7 56 4205
7 57 5815
7 58 414
7 59 6912
7 60 2898
7 61 5022
7 62 305
7 63 2424
7 64 3812
7 65 1590
7 66 795
7 67 5366
7 68 3562
7 69 9747
7 70 4656
7 71 3619
7 72 1132
7 73 2343
7 74 2977
7 75 3876
7 76 7137
7 77 1732
7 78 6692
7 79 6048
7 80 1687
7 81 4708
7 82 2580
7 83 1095
7 84 1492
7 85 3953
7 86 9436
7 87 960
7 88 7105
7 89 9096
7 90 1799
7 91 7586
7 92 6711
7 93 8934
7 94 558
7 95 9074
7 96 3784
7 97 2614
7 98 2040
7 99 4986
8 9 2099
8 10 1657
8 11 9794
8 12 9504
8 13 3074
8 14 6588
8 15 6135
8 16 705
8 17 7228
8 18 1625
8 19 3789
8 20 6576
8 21 3670
8 22 8408
8 23 1441
8 24 3525
8 25 8947
8 26 5049
8 27 889
8 28 1174
8 29 9346
8 30 9933
8 31 7594
8 32 7955
8 33 8769
8 34 645
8 35 935
8 36 5688
8 37 7718
8 38 7163
8 39 5220
8 40 7683
8 41 7547
8 42 5004
8 43 7591
8 44 4184
8 45 8194
8 46 8437
8 47 4391
8 48 983
8 49 6859
8 50 6028
8 51 3239
8 52 1890
8 53 9764
8 54 842
8 55 4103
8 56 3432
8 57 9006
8 58 5391
8 59 8999
8 60 598
8 61 1816
8 62 7104
8 63 6583
8 64 5774
8 65 48
8 66 3518
8 67 4889
8 68 9086
8 69 3618
8 70 7643
8 71 2699
8 72 7303
8 73 2784
8 74 3045
8 75 7683
8 76 170
8 77 649
8 78 5059
8 79 7271
8 80 7598
8 81 9091
8 82 9249
8 83 6501
8 84 8465
8 85 8428
8 86 746
8 87 5568
8 88 1975
8 89 3547
8 90 8408
8 91 8657
8 92 5484
8 93 7023
8 94 5879
8 95 4783
8 96 8499
8 97 2730
8 98 7591
8 99 830
9 10 1157
9 11 1887
9 12 1486
9 13 6768
9 14 6912
9 15 7129
9 16 1828
9 17 3072
9 18 3377
9 19 9187
9 20 4846
9 21 833
9 22 2324
9 23 5073
9 24 7159
9 25 5703
9 26 9679
9 27 6305
9 28 1928
9 29 7877
9 30 9030
9 31 586
9 32 525
9 33 1639
9 34 7648
9 35 661
9 36 8106
9 37 9660
9 38 2286
9 39 9587
9 40 9982
9 41 9177
9 42 3162
9 43 2522
9 44 1867
9 45 9493
9 46 8413
9 47 1358
9 48 1220
9 49 2785
9 50 8064
9 51 9967
9 52 8749
9 53 3139
9 54 6071
9 55 4675
9 56 8845
9 57 1935
9 58 1377
9 59 6674
9 60 5232
9 61 1212
9 62 4058
9 63 533
9 64 3432
9 65 520
9 66 649
9 67 5686
9 68 4799
9 69 6869
9 70 3483
9 71 5870
9 72 7786
9 73 1891
9 74 2542
9 75 4817
9 76 913
9 77 5075
9 78 4667
9 79 5208
9 80 8431
9 81 7048
9 82 4262
9 83 1884
9 84 4117
9 85 2240
9 86 1625
9 87 9622
9 88 762
9 89 6039
9 90 9924
9 91 393
9 92 2997
9 93 7503
9 94 9473
9 95 4955
9 96 8866
9 97 5090
9 98 8470
9 99 8884
10 11 1225
10 12 9475
10 13 2624
10 14 3690
10 15 3477
10 16 4517
10 17 2225
10 18 9557
10 19 5418
10 20 4699
10 21 4109
10 22 7390
10 23 4043
10 24 4947
10 25 7704
10 26 4386
10 27 1034
10 28 6649
10 29 8892
10 30 9132
10 31 3377
10 32 1902
10 33 2763
10 34 9347
10 35 6025
10 36 6530
10 37 6512
10 38 7836
10 39 5882
10 40 1273
10 41 6704
10 42 9948
10 43 4495
10 44 9684
10 45 924
10 46 8904
10 47 2806
10 48 730
10 49 2432
10 50 3715
10 51 5058
10 52 3887
10 53 7869
10 54 8098
10 55 528
10 56 4595
10 57 2260
10 58 7804
10 59 1158
10 60 8322
10 61 2642
10 62 8049
10 63 327
10 64 2244
10 65 1468
10 66 2397
10 67 3043
10 68 4523
10 69 3602
10 70 9332
10 71 630
10 72 2540
10 73 6231
10 74 3049
10 75 3649
10 76 3073
10 77 9272
10 78 501
10 79 5206
10 80 9370
10 81 4984
10 82 7649
10 83 3099
10 84 2357
10 85 9391
10 86 4018
10 87 3283
10 88 5801
10 89 4865
10 90 6165
10 91 9058
10 92 8138
10 93 2759
10 94 7477
10 95 65
10 96 6912
10 97 7308
10 98 3824
10 99 2661
11 12 5270
11 13 7234
11 14 2036
11 15 8632
11 16 3825
11 17 9400
11 18 906
11 19 2245
11 20 5315
11 21 9727
11 22 2484
11 23 6688
11 24 3986
11 25 107
11 26 4804
11 27 9614
11 28 6368
11 29 6551
11 30 5840
11 31 4146
11 32 5230
11 33 2956
11 34 2524
11 35 6054
11 36 3874
11 37 6974
11 38 7915
11 39 9
11 40 3668
11 41 9296
11 42 4282
11 43 7841
11 44 3721
11 45 5326
11 46 9737
11 47 9551
11 48 7943
11 49 8716
11 50 1360
11 51 3448
11 52 1411
11 53 9509
11 54 8258
11 55 5244
11 56 4878
11 57 5741
11 58 3900
11 59 7192
11 60 3583
11 61 6280
11 62 8264
11 63 7428
11 64 4074
11 65 4398
11 66 6777
11 67 6551
11 68 684
11 69 6122
11 70 4894
11 71 3199
11 72 1484
11 73 4750
11 74 4237
11 75 2857
11 76 2086
11 77 3097
11 78 8675
11 79 4476
11 80 4506
11 81 8014
11 82 6448
11 83 7614
11 84 7417
11 85 7499
11 86 7511
11 87 8744
11 88 3636
11 89 9347
11 90 3640
11 91 9157
11 92 414
11 93 1677
11 94 2514
11 95 8437
11 96 8218
11 97 9918
11 98 5992
11 99 6880
12 13 4083
12 14 1875
12 15 7107
12 16 7440
12 17 6327
12 18 2348
12 19 9922
12 20 2756
12 21 8445
12 22 1435
12 23 1307
12 24 5689
12 25 1335
12 26 6145
12 27 3969
12 28 2382
12 29 4671
12 30 3224
12 31 5603
12 32 5341
12 33 180
12 34 2210
12 35 9899
12 36 274
12 37 1881
12 38 1634
12 39 1344
12 40 4499
12 41 902
12 42 8037
12 43 7222
12 44 6635
12 45 5417
12 46 6992
12 47 7051
12 48 6956
12 49 9458
12 50 7685
12 51 1782
12 52 5326
12 53 7847
12 54 7763
12 55 2564
12 56 8945
12 57 8382
12 58 3158
12 59 1566
12 60 5261
12 61 6524
12 62 8362
12 63 5448
12 64 6370
12 65 2305
12 66 6250
12 67 5425
12 68 9966
12 69 3965
12 70 2950
12 71 6550
12 72 8492
12 73 7890
12 74 2501
12 75 2838
12 76 2511
12 77 9848
12 78 8064
12 79 4153
12 80 6540
12 81 8215
12 82 1332
12 83 5417
12 84 5554
12 85 5915
12 86 9414
12 87 8611
12 88 8245
12 89 4142
12 90 8980
12 91 3290
12 92 8717
12 93 7569
12 94 725
12 95 1899
12 96 1745
12 97 7719
12 98 3325
12 99 2035
13 14 8027
13 15 8458
13 16 4956
13 17 8980
13 18 4861
13 19 5138
13 20 2214
13 21 8340
13 22 4642
13 23 6831
13 24 754
13 25 413
13 26 8206
13 27 9309
13 28 9388
13 29 5036
13 30 2592
13 31 4950
13 32 9494
13 33 8105
13 34 3116
13 35 4570
13 36 4599
13 37 8673
13 38 7760
13 39 5365
13 40 764
13 41 8633
13 42 7864
13 43 8583
13 44 7039
13 45 5314
13 46 2831
13 47 320
13 48 6629
13 49 1042
13 50 8152
13 51 8955
13 52 3668
13 53 2689
13 54 5437
13 55 3089
13 56 7543
13 57 8533
13 58 334
13 59 4615
13 60 6539
13 61 9399
13 62 9218
13 63 2534
13 64 5255
13 65 5957
13 66 8377
13 67 4496
13 68 5743
13 69 4307
13 70 35
13 71 4673
13 72 554
13 73 7538
13 74 8007
13 75 8556
13 76 7052
13 77 1810
13 78 2051
13 79 7531
13 80 6212
13 81 1716
13 82 4033
13 83 8672
13 84 5874
13 85 1123
13 86 922
13 87 8097
13 88 7977
13 89 2554
13 90 9328
13 91 9459
13 92 1616
13 93 266
13 94 3800
13 95 2635
13 96 8964
13 97 9592
13 98 6426
13 99 1545
14 15 9065
14 16 7909
14 17 8406
14 18 4175
14 19 5293
14 20 592
14 21 5235
14 22 2332
14 23 5880
14 24 8734
14 25 5867
14 26 3446
14 27 3335
14 28 4062
14 29 2822
14 30 1808
14 31 7796
14 32 480
14 33 4573
14 34 2057
14 35 1405
14 36 992
14 37 3760
14 38 3415
14 39 5650
14 40 3346
14 41 4759
14 42 9207
14 43 1269
14 44 7709
14 45 2006
14 46 2547
14 47 823
14 48 4896
14 49 6048
14 50 5711
14 51 7297
14 52 4255
14 53 7794
14 54 7685
14 55 8207
14 56 6154
14 57 2680
14 58 1645
14 59 3635
14 60 5229
14 61 5508
14 62 1736
14 63 8281
14 64 7026
14 65 3659
14 66 6378
14 67 2230
14 68 2471
14 69 1023
14 70 3590
14 71 2428
14 72 1742
14 73 7530
14 74 2296
14 75 7072
14 76 1536
14 77 9486
14 78 2457
14 79 8062
14 80 7458
14 81 4030
14 82 6004
14 83 2489
14 84 6349
14 85 7014
14 86 5
14 87 2689
14 88 1693
14 89 7326
14 90 3292
14 91 5871
14 92 8967
14 93 2282
14 94 7847
14 95 8493
14 96 6767
14 97 8075
14 98 6652
14 99 7648
15 16 3856
15 17 6482
15 18 419
15 19 1553
15 20 1899
15 21 4028
15 22 6644
15 23 3896
15 24 8596
15 25 2634
15 26 5772
15 27 2295
15 28 6128
15 29 1410
15 30 887
15 31 9399
15 32 5444
15 33 7707
15 34 9343
15 35 6262
15 36 7730
15 37 1789
15 38 6983
15 39 1546
15 40 638
15 41 3558
15 42 8221
15 43 6838
15 44 8283
15 45 1682
15 46 8137
15 47 7895
15 48 892
15 49 5124
15 50 5954
15 51 3997
15 52 2051
15 53 4608
15 54 2791
15 55 2755
15 56 8965
15 57 6891
15 58 442
15 59 5683
15 60 3858
15 61 7813
15 62 2035
15 63 654
15 64 2741
15 65 1071
15 66 9952
15 67 947
15 68 1093
15 69 8411
15 70 1103
15 71 7028
15 72 4720
15 73 3500
15 74 4786
15 75 6407
15 76 8039
15 77 6148
15 78 3732
15 79 8988
15 80 1336
15 81 5707
15 82 4657
15 83 157
15 84 3170
15 85 2529
15 86 681
15 87 1522
15 88 4029
15 89 4151
15 90 4292
15 91 9723
15 92 2587
15 93 8529
15 94 6191
15 95 6975
15 96 6463
15 97 88
15 98 2324
15 99 3161
16 17 5257
16 18 5609
16 19 8678
16 20 8164
16 21 4822
16 22 6049
16 23 990
16 24 4894
16 25 8216
16 26 7278
16 27 4455
16 28 7974
16 29 593
16 30 7412
16 31 6689
16 32 416
16 33 2409
16 34 919
16 35 5761
16 36 801
16 37 7747
16 38 33
16 39 3934
16 40 6423
16 41 2316
16 42 2094
16 43 6894
16 44 3670
16 45 8730
16 46 7424
16 47 7737
16 48 5515
16 49 5042
16 50 6085
16 51 4729
16 52 7402
16 53 6192
16 54 3445
16 55 1963
16 56 7041
16 57 7029
16 58 3862
16 59 2424
16 60 669
16 61 9850
16 62 8991
16 63 3702
16 64 8196
16 65 9055
16 66 2232
16 67 7589
16 68 2291
16 69 409
16 70 3655
16 71 6184
16 72 1985
16 73 2679
16 74 381
16 75 8710
16 76 9626
16 77 4953
16 78 5833
16 79 5290
16 80 1132
16 81 3812
16 82 7541
16 83 6126
16 84 3414
16 85 729
16 86 7255
16 87 7186
16 88 9559
16 89 1550
16 90 9004
16 91 6336
16 92 1908
16 93 6711
16 94 423
16 95 7129
16 96 5517
16 97 2971
16 98 219
16 99 935
17 18 9659
17 19 4896
17 20 9914
17 21 1978
17 22 2989
17 23 7018
17 24 1187
17 25 3960
17 26 8806
17 27 5714
17 28 1052
17 29 1448
17 30 442
17 31 3168
17 32 5888
17 33 3941
17 34 3206
17 35 4486
17 36 1899
17 37 5655
17 38 8565
17 39 3031
17 40 3964
17 41 9442
17 42 8280
17 43 8330
17 44 7057
17 45 8978
17 46 1052
17 47 5548
17 48 4384
17 49 9386
17 50 1912
17 51 5440
17 52 4258
17 53 2789
17 54 5073
17 55 8949
17 56 3321
17 57 1947
17 58 4243
17 59 1151
17 60 7207
17 61 2083
17 62 499
17 63 5150
17 64 966
17 65 8301
17 66 6746
17 67 7689
17 68 671
17 69 3549
17 70 9514
17 71 4725
17 72 4497
17 73 28
17 74 3385
17 75 7050
17 76 6267
17 77 5119
17 78 684
17 79 3147
17 80 6950
17 81 1448
17 82 9256
17 83 8886
17 84 9960
17 85 9543
17 86 4115
17 87 1443
17 88 4192
17 89 684
17 90 4534
17 91 7842
17 92 4709
17 93 7013
17 94 6781
17 95 6931
17 96 4748
17 97 5742
17 98 4078
17 99 7240
18 19 4269
18 20 4392
18 21 9627
18 22 2209
18 23 9689
18 24 4393
18 25 5564
18 26 8535
18 27 6603
18 28 1077
18 29 561
18 30 3052
18 31 2322
18 32 9150
18 33 1478
18 34 8447
18 35 7899
18 36 4031
18 37 9914
18 38 8389
18 39 9896
18 40 1125
18 41 2831
18 42 8194
18 43 657
18 44 7042
18 45 7497
18 46 8014
18 47 2059
18 48 9063
18 49 4943
18 50 1729
18 51 1819
18 52 1726
18 53 2828
18 54 6206
18 55 3294
18 56 2328
18 57 8155
18 58 2403
18 59 9437
18 60 324
18 61 2658
18 62 1913
18 63 9050
18 64 9149
18 65 8804
18 66 9967
18 67 8830
18 68 2832
18 69 2374
18 70 8675
18 71 7806
18 72 3893
18 73 8339
18 74 2324
18 75 1736
18 76 3507
18 77 397
18 78 9934
18 79 3789
18 80 9679
18 81 899
18 82 8944
18 83 4401
18 84 4269
18 85 7168
18 86 7908
18 87 7574
18 88 5095
18 89 2230
18 90 5365
18 91 3118
18 92 5067
18 93 2827
18 94 6695
18 95 4289
18 96 6332
18 97 5276
18 98 681
18 99 8162
19 20 3724
19 21 181
19 22 2753
19 23 1657
19 24 8507
19 25 310
19 26 2443
19 27 9620
19 28 310
19 29 2078
19 30 8447
19 31 2602
19 32 2474
19 33 9937
19 34 5881
19 35 1071
19 36 3586
19 37 4766
19 38 6798
19 39 9636
19 40 5901
19 41 1841
19 42 6856
19 43 9620
19 44 9544
19 45 1358
19 46 8123
19 47 766
19 48 9918
19 49 4617
19 50 472
19 51 3233
19 52 4600
19 53 1989
19 54 1717
19 55 9138
19 56 5111
19 57 4535
19 58 9745
19 59 8870
19 60 8469
19 61 9787
19 62 8237
19 63 1152
19 64 3156
19 65 3604
19 66 1252
19 67 7391
19 68 4254
19 69 4233
19 70 972
19 71 270
19 72 2885
19 73 1768
19 74 7172
19 75 3693
19 76 5808
19 77 6034
19 78 6636
19 79 6240
19 80 2067
19 81 8600
19 82 5635
19 83 3083
19 84 4887
19 85 101
19 86 8869
19 87 1973
19 88 8704
19 89 2338
19 90 3787
19 91 7339
19 92 3150
19 93 5732
19 94 105
19 95 2794
19 96 8109
19 97 6618
19 98 498
19 99 6452
20 21 6529
20 22 5606
20 23 9960
20 24 5286
20 25 4587
20 26 7755
20 27 8105
20 28 4513
20 29 2026
20 30 7688
20 31 823
20 32 5466
20 33 8977
20 34 7920
20 35 5132
20 36 734
20 37 9460
20 38 6647
20 39 3799
20 40 8519
20 41 5865
20 42 2072
20 43 4378
20 44 9064
20 45 3213
20 46 3885
20 47 670
20 48 4799
20 49 6747
20 50 8991
20 51 3294
20 52 2399
20 53 1508
20 54 7781
20 55 51
20 56 9353
20 57 7935
20 58 9261
20 59 6075
20 60 9834
20 61 3263
20 62 8261
20 63 8383
20 64 4659
20 65 4491
20 66 5560
20 67 9357
20 68 7962
20 69 5058
20 70 2273
20 71 8950
20 72 8842
20 73 3988
20 74 3114
20 75 5959
20 76 9676
20 77 3254
20 78 9292
20 79 4568
20 80 4066
20 81 6369
20 82 648
20 83 3565
20 84 6458
20 85 8800
20 86 8445
20 87 2113
20 88 2337
20 89 8717
20 90 4702
20 91 7768
20 92 2635
20 93 4777
20 94 1354
20 95 9562
20 96 8454
20 97 6200
20 98 2664
20 99 1390
21 22 2574
21 23 9200
21 24 7312
21 25 8696
21 26 2317
21 27 3001
21 28 2356
21 29 4494
21 30 4292
21 31 8141
21 32 9878
21 33 9144
21 34 5333
21 35 9509
21 36 8541
21 37 1989
21 38 5459
21 39 6691
21 40 6504
21 41 1916
21 42 8139
21 43 4563
21 44 9196
21 45 8268
21 46 274
21 47 7809
21 48 5291
21 49 3105
21 50 9371
21 51 4047
21 52 6901
21 53 762
21 54 8182
21 55 1602
21 56 5477
21 57 910
21 58 7704
21 59 9605
21 60 3199
21 61 6848
21 62 7922
21 63 60
21 64 753
21 65 1656
21 66 1892
21 67 3793
21 68 6274
21 69 1013
21 70 2865
21 71 4805
21 72 7018
21 73 2956
21 74 6031
21 75 424
21 76 4804
21 77 1696
21 78 6135
21 79 7875
21 80 8671
21 81 4703
21 82 9779
21 83 1428
21 84 3339
21 85 9711
21 86 6479
21 87 8092
21 88 34
21 89 1039
21 90 5747
21 91 3995
21 92 7053
21 93 2677
21 94 8365
21 95 8053
21 96 1019
21 97 8965
21 98 8802
21 99 4291
22 23 6220
22 24 2357
22 25 2295
22 26 9278
22 27 8632
22 28 1773
22 29 4496
22 30 6546
22 31 3278
22 32 4339
22 33 3784
22 34 5554
22 35 8427
22 36 7941
22 37 6354
22 38 8801
22 39 7811
22 40 1945
22 41 2014
22 42 7028
22 43 2489
22 44 8673
22 45 4254
22 46 9091
22 47 7322
22 48 8810
22 49 1612
22 50 62
22 51 3078
22 52 9738
22 53 8602
22 54 8370
22 55 4140
22 56 7029
22 57 3547
22 58 417
22 59 3508
22 60 5778
22 61 7565
22 62 8955
22 63 1303
22 64 288
22 65 3612
22 66 9783
22 67 381
22 68 7742
22 69 7050
22 70 9782
22 71 2784
22 72 3897
22 73 9469
22 74 8209
22 75 3766
22 76 6623
22 77 5687
22 78 2267
22 79 5908
22 80 6135
22 81 9744
22 82 7465
22 83 4438
22 84 9144
22 85 9521
22 86 3051
22 87 6303
22 88 7832
22 89 1130
22 90 2870
22 91 9753
22 92 3571
22 93 3654
22 94 2431
22 95 8241
22 96 9574
22 97 1990
22 98 3645
22 99 2301
23 24 6317
23 25 552
23 26 9756
